stationId,name,earliest,latest
2,AVNE ETAN,1980-07-09T00:10:00+03:00,2026-01-01T15:20:00+02:00
6,BET ZAYDA,1945-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
8,ZEMAH,1994-01-01T00:10:00+02:00,2026-01-01T15:20:00+02:00
10,MEROM GOLAN PICMAN,1997-12-21T01:00:00+02:00,2026-01-01T15:20:00+02:00
11,YAVNEEL,1996-07-02T00:10:00+03:00,2026-01-01T15:20:00+02:00
13,TAVOR KADOORIE,1992-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
16,AFULA NIR HAEMEQ,1994-11-01T00:10:00+02:00,2026-01-01T15:20:00+02:00
17,TEL YOSEF 20060907,1994-03-21T14:00:00+02:00,2006-09-07T11:30:00+03:00
18,EDEN FARM 20080706,1990-07-10T00:20:00+03:00,2008-07-06T08:00:00+03:00
20,QARNE SHOMERON,1990-07-10T18:30:00+03:00,2026-01-01T14:50:00+02:00
21,ARIEL,1947-02-15T10:20:00+02:00,2026-01-01T15:20:00+02:00
22,JERUSALEM GIVAT RAM,1989-12-31T00:00:00+02:00,2026-01-01T15:20:00+02:00
23,JERUSALEM CENTRE,1993-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
24,HAR HARASHA,2001-10-05T02:20:00+02:00,2026-01-01T15:20:00+02:00
25,NETIV HALAMED HE,1994-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
26,HAIFA PORT,1999-01-13T13:10:00+02:00,2011-06-26T09:00:00+03:00
28,SHANI,1950-01-25T02:20:00+02:00,2026-01-01T15:20:00+02:00
29,ARAD,1991-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
30,GILGAL,1990-07-10T04:00:00+03:00,2026-01-01T15:20:00+02:00
32,NEWE ZOHAR UNI,1995-07-12T02:40:00+03:00,2023-10-12T11:00:00+03:00
33,HAZEVA,1994-02-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
35,PARAN 20060124,1992-01-01T00:00:00+02:00,2011-11-07T10:50:00+02:00
36,YOTVATA,1990-01-02T12:40:00+02:00,2026-01-01T15:20:00+02:00
41,HAIFA REFINERIES,1990-03-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
42,HAIFA UNIVERSITY,1993-12-31T00:10:00+02:00,2026-01-01T15:20:00+02:00
43,HAIFA TECHNION,1993-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
44,EN KARMEL,1992-03-30T14:50:00+02:00,2026-01-01T15:20:00+02:00
45,ZIKHRON YAAQOV,1989-01-01T00:10:00+02:00,2026-01-01T15:20:00+02:00
46,HADERA PORT,1990-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
54,BET DAGAN,1992-03-08T11:40:00+02:00,2026-01-01T15:20:00+02:00
58,BESOR FARM,1990-06-27T11:10:00+03:00,2026-01-01T15:20:00+02:00
59,BEER SHEVA_20250506,1996-01-01T00:10:00+02:00,2025-06-30T09:10:00+03:00
60,BEER SHEVA UNI,1991-09-01T00:00:00+03:00,2026-01-01T15:20:00+02:00
62,ZEFAT HAR KENAAN,1999-03-28T00:10:00+02:00,2026-01-01T15:20:00+02:00
64,ELAT,1998-11-29T00:10:00+02:00,2026-01-01T15:20:00+02:00
65,SEDOM,1991-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
67,EN HASHOFET,1996-11-18T12:20:00+02:00,2026-01-01T15:20:00+02:00
69,MIZPE RAMON 20080514,1998-02-17T00:10:00+02:00,2008-05-14T09:00:00+03:00
73,ELON,1990-07-10T19:30:00+03:00,2026-01-01T15:20:00+02:00
74,QEVUZAT YAVNE,1998-06-19T00:10:00+03:00,2026-01-01T15:20:00+02:00
75,BEIT JIMAL,1998-03-23T09:30:00+02:00,2026-01-01T15:20:00+02:00
77,ROSH ZURIM,1999-12-30T00:10:00+02:00,2026-01-01T15:20:00+02:00
78,AFEQ,1999-10-21T00:10:00+02:00,2026-01-01T15:20:00+02:00
79,DOROT,2000-02-09T00:10:00+02:00,2026-01-01T15:20:00+02:00
82,NEGBA,2001-05-05T16:20:00+03:00,2026-01-01T15:20:00+02:00
85,BET DAGAN RAD,2001-01-01T00:10:00+02:00,2026-01-01T15:20:00+02:00
90,ITAMAR,2002-01-05T11:00:00+02:00,2026-01-01T15:20:00+02:00
98,SEDE BOQER,2002-10-30T15:40:00+02:00,2026-01-01T15:20:00+02:00
99,DEIR HANNA,2002-12-18T03:50:00+02:00,2026-01-01T15:20:00+02:00
106,ROSH HANIQRA,2003-08-12T13:30:00+03:00,2026-01-01T15:20:00+02:00
107,EN HAHORESH,2003-08-17T14:00:00+03:00,2026-01-01T15:20:00+02:00
112,ZOMET HANEGEV,2003-11-23T12:20:00+02:00,2026-01-01T15:20:00+02:00
115,LEV KINERET,2003-11-26T12:00:00+02:00,2026-01-01T15:20:00+02:00
121,HAFEZ HAYYIM,2004-03-14T21:20:00+02:00,2026-01-01T15:20:00+02:00
123,AMMIAD,2004-03-29T12:40:00+02:00,2026-01-01T15:20:00+02:00
124,ASHDOD PORT,2000-08-30T00:20:00+03:00,2026-01-01T15:20:00+02:00
178,TEL AVIV COAST,2005-03-02T12:40:00+02:00,2026-01-01T15:20:00+02:00
186,NEWE YAAR,2005-03-27T13:20:00+02:00,2026-01-01T15:20:00+02:00
188,ZOVA,2005-05-29T10:40:00+03:00,2026-01-01T15:20:00+02:00
202,KEFAR BLUM,2005-06-27T11:00:00+03:00,2026-01-01T15:20:00+02:00
205,ESHHAR,2005-10-10T12:30:00+02:00,2026-01-01T15:20:00+02:00
206,EDEN FARM,1993-02-18T16:30:00+02:00,2026-01-01T15:20:00+02:00
207,PARAN,2004-04-01T00:10:00+02:00,2026-01-01T15:20:00+02:00
208,ASHQELON PORT,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
210,METZOKE DRAGOT,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
211,EN GEDI_20231213,2006-01-01T00:00:00+02:00,2023-12-13T08:20:00+02:00
212,BET DAGAN_1m,1999-01-01T01:37:00+02:00,2026-01-01T11:34:00+02:00
218,MAALE ADUMMIM,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
224,MAALE GILBOA,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
227,GAMLA,2006-01-01T00:00:00+02:00,2026-01-01T15:00:00+02:00
228,BET HAARAVA,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
232,NEOT SMADAR,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
233,KEFAR NAHUM,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
236,GAT,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
238,ZEFAT HAR KENAAN_1m,2001-05-12T13:42:00+03:00,2026-01-01T14:49:00+02:00
239,ELON_1m,1991-03-01T11:14:00+02:00,2026-01-01T15:25:00+02:00
240,ARAD_1m,2001-01-02T10:47:00+02:00,2025-12-30T13:25:00+02:00
241,KEFAR GILADI,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
242,ARIEL_1m,2001-01-02T20:50:00+02:00,2026-01-01T15:27:00+02:00
243,ASHDOD PORT_1m,2007-09-24T23:52:00+02:00,2026-01-01T10:08:00+02:00
244,BESOR FARM_1m,2001-01-03T05:51:00+02:00,2026-01-01T15:22:00+02:00
245,DOROT_1m,2003-01-01T04:57:00+02:00,2026-01-01T15:17:00+02:00
246,EN HAHORESH_1m,2005-01-04T18:36:00+02:00,2026-01-01T15:19:00+02:00
247,QARNE SHOMERON_1m,2001-01-03T08:45:00+02:00,2026-01-01T14:53:00+02:00
248,JERUSALEM CENTRE_1m,2001-01-03T04:21:00+02:00,2025-12-29T13:47:00+02:00
249,JERUSALEM GIVAT RAM_1m,2001-01-03T04:21:00+02:00,2026-01-01T15:22:00+02:00
250,SEDOM_1m,2001-01-03T05:01:00+02:00,2025-12-28T06:54:00+02:00
251,SEDE BOQER_1m,2001-10-15T11:38:00+02:00,2025-12-29T18:26:00+02:00
252,NEGBA_1m,2001-01-03T03:41:00+02:00,2026-01-01T15:22:00+02:00
257,TEL YOSEF 20141223,1994-04-05T10:50:00+02:00,2017-10-17T14:00:00+03:00
259,NAHSHON,2006-01-01T00:00:00+02:00,2026-01-01T15:20:00+02:00
263,GALED,2008-03-31T14:00:00+03:00,2026-01-01T15:20:00+02:00
264,MERHAVYA 20170702,2008-04-15T13:30:00+03:00,2017-07-18T08:10:00+03:00
265,MIZPE RAMON 20120927,2008-05-22T12:10:00+03:00,2012-09-27T18:30:00+02:00
269,HARASHIM,2008-09-10T12:30:00+03:00,2026-01-01T15:20:00+02:00
270,SHAARE TIQWA 20161205,2008-10-06T13:10:00+02:00,2016-12-05T07:00:00+02:00
271,AVDAT,2008-09-26T17:10:00+03:00,2026-01-01T15:20:00+02:00
274,NIZZAN,2008-12-17T09:00:00+02:00,2026-01-01T15:20:00+02:00
275,HAKFAR HAYAROK,2010-12-29T13:10:00+02:00,2026-01-01T15:10:00+02:00
276,GILGAL_1m,2009-01-31T21:00:00+02:00,2026-01-01T15:22:00+02:00
277,ITAMAR_1m,2009-01-19T23:41:00+02:00,2026-01-01T15:14:00+02:00
278,HAR HARASHA_1m,2009-01-20T03:26:00+02:00,2026-01-01T11:24:00+02:00
279,BET HAARAVA_1m,2009-01-31T22:26:00+02:00,2026-01-01T15:23:00+02:00
280,MAALE ADUMMIM_1m,2009-01-31T21:01:00+02:00,2026-01-01T15:25:00+02:00
281,ZOVA_1m,2009-01-20T06:21:00+02:00,2026-01-01T15:21:00+02:00
282,NAHSHON_1m,2009-01-31T22:02:00+02:00,2026-01-01T15:12:00+02:00
283,HAFEZ HAYYIM_1m,2009-01-25T12:20:00+02:00,2025-12-29T13:31:00+02:00
284,QEVUZAT YAVNE_1m,2009-02-01T00:10:00+02:00,2026-01-01T10:16:00+02:00
285,GAT_1m,2009-02-01T01:56:00+02:00,2026-01-01T15:18:00+02:00
286,ROSH ZURIM_1m,2009-01-20T02:00:00+02:00,2025-12-31T13:07:00+02:00
287,NETIV HALAMED HE_1m,2009-01-31T21:18:00+02:00,2025-12-29T15:33:00+02:00
288,BEIT JIMAL_1m,2009-01-31T21:14:00+02:00,2026-01-01T15:27:00+02:00
289,METZOKE DRAGOT_1m,2009-02-01T01:52:00+02:00,2025-12-29T14:17:00+02:00
290,EN GEDI_1m_20231213,2009-02-10T19:05:00+02:00,2023-12-05T22:45:00+02:00
291,ASHQELON PORT_1m,2009-01-23T16:29:00+02:00,2025-12-29T13:57:00+02:00
292,SHANI_1m,2009-02-10T16:26:00+02:00,2026-01-01T15:23:00+02:00
293,BEER SHEVA_1m_20250506,2009-03-02T23:34:00+02:00,2025-01-24T03:33:00+02:00
294,ZOMET HANEGEV_1m,2009-03-01T16:12:00+02:00,2025-12-29T17:42:00+02:00
295,HAZEVA_1m,2009-09-08T11:08:00+03:00,2025-12-29T19:11:00+02:00
296,MIZPE RAMON_1m,2009-02-10T23:59:00+02:00,2025-12-29T19:10:00+02:00
297,PARAN_1m,2009-02-18T12:14:00+02:00,2025-12-17T12:36:00+02:00
298,HARASHIM_1m,2009-01-19T23:58:00+02:00,2026-01-01T15:06:00+02:00
299,TEL AVIV COAST_1m,2009-01-31T22:15:00+02:00,2026-01-01T15:27:00+02:00
300,AVNE ETAN_1m,2009-01-24T10:58:00+02:00,2026-01-01T15:23:00+02:00
301,BET ZAYDA_1m,2009-01-31T11:21:00+02:00,2026-01-01T15:00:00+02:00
302,ZEMAH_1m,2009-01-28T12:28:00+02:00,2026-01-01T15:22:00+02:00
303,MEROM GOLAN PICMAN_1m,2009-01-20T09:46:00+02:00,2026-01-01T15:22:00+02:00
304,YAVNEEL_1m,2009-01-24T10:18:00+02:00,2026-01-01T15:28:00+02:00
305,TAVOR KADOORIE_1m,2009-01-24T10:05:00+02:00,2026-01-01T15:22:00+02:00
306,AFULA NIR HAEMEQ_1m,2001-01-23T09:41:00+02:00,2026-01-01T15:22:00+02:00
307,EDEN FARM_1m,2009-01-26T22:58:00+02:00,2026-01-01T15:21:00+02:00
309,YOTVATA_1m,2009-02-06T08:06:00+02:00,2026-01-01T15:23:00+02:00
310,HAIFA REFINERIES_1m,2009-01-26T20:17:00+02:00,2026-01-01T13:48:00+02:00
311,HAIFA UNIVERSITY_1m,2009-01-20T10:44:00+02:00,2026-01-01T13:51:00+02:00
312,HAIFA TECHNION_1m,2009-01-31T08:42:00+02:00,2026-01-01T15:22:00+02:00
313,EN KARMEL_1m,2009-01-25T10:32:00+02:00,2026-01-01T13:23:00+02:00
314,ZIKHRON YAAQOV_1m,2009-01-31T09:23:00+02:00,2026-01-01T15:22:00+02:00
315,HADERA PORT_1m,2009-03-01T12:46:00+02:00,2026-01-01T15:26:00+02:00
316,ELAT_1m,2009-02-17T14:55:00+02:00,2026-01-01T15:27:00+02:00
317,EN HASHOFET_1m,2009-01-24T07:39:00+02:00,2026-01-01T15:24:00+02:00
318,AFEQ_1m,2009-01-24T11:20:00+02:00,2026-01-01T15:19:00+02:00
319,DEIR HANNA_1m,2009-01-24T10:09:00+02:00,2026-01-01T14:37:00+02:00
320,ROSH HANIQRA_1m,2009-01-24T10:07:00+02:00,2026-01-01T15:00:00+02:00
322,AMMIAD_1m,2009-01-31T10:00:00+02:00,2026-01-01T14:53:00+02:00
323,NEWE YAAR_1m,2009-01-24T09:30:00+02:00,2026-01-01T14:25:00+02:00
324,KEFAR BLUM_1m,2009-01-21T01:30:00+02:00,2026-01-01T12:20:00+02:00
325,ESHHAR_1m,2009-01-31T08:55:00+02:00,2026-01-01T14:44:00+02:00
327,GAMLA_1m,2009-01-24T11:00:00+02:00,2026-01-01T15:05:00+02:00
328,MAALE GILBOA_1m,2009-03-02T05:46:00+02:00,2026-01-01T15:09:00+02:00
329,NEOT SMADAR_1m,2009-02-17T11:44:00+02:00,2026-01-01T15:26:00+02:00
330,KEFAR NAHUM_1m,2009-01-24T10:15:00+02:00,2026-01-01T15:18:00+02:00
332,GALED_1m,2009-02-24T01:19:00+02:00,2026-01-01T14:28:00+02:00
333,MERHAVYA_1m 20170702,2009-03-02T05:25:00+02:00,2012-05-01T22:54:00+03:00
335,AVDAT_1m,2009-02-07T08:01:00+02:00,2025-12-29T18:26:00+02:00
336,NIZZAN_1m,2009-01-23T16:39:00+02:00,2026-01-01T15:26:00+02:00
338,EZUZ,2009-03-01T11:10:00+02:00,2026-01-01T15:20:00+02:00
343,SHAVE ZIYYON,2009-09-09T15:50:00+03:00,2026-01-01T15:20:00+02:00
344,EZUZ_1m,2009-10-29T11:54:00+02:00,2025-12-29T18:17:00+02:00
345,SHAVE ZIYYON_1m,2009-09-16T09:53:00+03:00,2026-01-01T13:59:00+02:00
346,KEFAR GILADI_1m,2010-02-21T23:09:00+02:00,2026-01-01T15:22:00+02:00
348,DAFNA 20191106,2010-03-22T13:10:00+02:00,2019-11-06T10:20:00+02:00
349,NEVATIM,2010-04-28T11:50:00+03:00,2026-01-01T15:20:00+02:00
350,LAHAV,2010-06-16T14:50:00+03:00,2026-01-01T15:20:00+02:00
351,LAHAV_1m,2010-09-01T10:42:00+03:00,2025-12-29T17:13:00+02:00
352,DAFNA_1m 20191106,2010-10-29T15:40:00+02:00,2012-05-02T02:43:00+03:00
353,AYYELET HASHAHAR,2010-09-16T14:50:00+02:00,2026-01-01T15:20:00+02:00
354,AYYELEY HASHAHAR_1m,2010-12-06T06:34:00+02:00,2026-01-01T14:52:00+02:00
355,MASSADA,2010-12-23T13:20:00+02:00,2026-01-01T15:20:00+02:00
366,SEDE ELIYYAHU,2011-01-24T12:10:00+02:00,2026-01-01T15:20:00+02:00
367,SEDE ELIYYAHU_1m,2011-01-28T20:18:00+02:00,2026-01-01T15:22:00+02:00
370,NEVATIM_1m,2011-09-05T14:26:00+03:00,2025-12-29T16:41:00+02:00
373,MASSADA_1m,2011-11-03T11:01:00+02:00,2026-01-01T15:20:00+02:00
379,MIZPE RAMON,2012-06-07T00:10:00+03:00,2026-01-01T15:20:00+02:00
380,TEL YOSEF,2000-02-11T22:50:00+02:00,2026-01-01T15:20:00+02:00
381,ASHALIM,2008-09-07T14:10:00+03:00,2026-01-01T15:20:00+02:00
411,BEER SHEVA BGU,2022-09-26T10:40:00+03:00,2026-01-01T15:20:00+02:00
412,BEER SHEVA BGU_1m,2023-03-14T04:49:00+02:00,2026-01-01T15:18:00+02:00
443,TEL YOSEF_1m,2021-11-19T05:33:00+02:00,2026-01-01T15:22:00+02:00
480,ASHALIM_1m,2021-11-03T10:39:00+02:00,2026-01-01T15:25:00+02:00
498,DAFNA_1m,2025-02-12T10:18:00+02:00,2026-01-01T12:42:00+02:00
499,DAFNA,2018-11-28T13:00:00+02:00,2026-01-01T15:10:00+02:00
500,NAZARETH,2024-03-10T00:10:00+02:00,2026-01-01T15:10:00+02:00
501,NAZARET_1m,2024-03-10T11:09:00+02:00,2026-01-01T15:26:00+02:00
502,TIBERIAS,2024-07-15T11:10:00+03:00,2026-01-01T15:20:00+02:00
503,TIBERIAS_1m,2024-07-23T11:19:00+03:00,2026-01-01T15:18:00+02:00
504,MIZPE MIDRAG,2025-11-16T08:00:00+02:00,2026-01-01T15:10:00+02:00
505,MIZPE MIDRAG_1m,2025-11-16T07:53:00+02:00,2026-01-01T15:12:00+02:00
